time_ms_,trace1,trace2,trace3,trace4,trace5,trace6,trace7,trace8,trace9,trace10,trace11
2398.5,0.433090953508984,0.366461576046064,0.467651051164985,0.781182747918075,1.33943729834339,2.05461337326081,2.84669344926862,3.68578771217783,4.56193289059212,5.34996538759517,6.10841942264038
2399,0.43340230574012,0.379849721984875,0.48788894618877,0.808270392026832,1.35407085320674,2.04558415855789,2.85167508496678,3.67956066755512,4.53266578086542,5.34467239966587,6.12865731766416
2399.5,0.412541706254065,0.372999972899902,0.473255391325418,0.812006618800454,1.32636050463571,2.04869768086924,2.83641882564116,3.67146550954561,4.54449716564855,5.34280428627906,6.10779671817811
2400,0.429354726735363,0.375490790748983,0.473878095787688,0.800797938479589,1.35002327420198,2.06395394019487,2.84638209703748,3.68454230325329,4.54356310895515,5.35899460229809,6.12149621634805
2400.5,0.423439034343795,0.35836641803655,0.467651051164985,0.803600108559805,1.35095733089539,2.05834960003443,2.84482533588181,3.69450557464961,4.55601719820055,5.34685186528382,6.13301624890005
2401,0.421882273188119,0.375802142980118,0.469830516782931,0.788966553696453,1.34908921750858,2.04527280632676,2.85696807289608,3.68391959879102,4.53266578086542,5.34685186528382,6.12959137435757
2401.5,0.437449884744876,0.36864104166401,0.495050047504878,0.807647687564562,1.3413054117302,2.05243390764287,2.8616383563631,3.69294881349394,4.55850801604964,5.35307890990652,6.13114813551324
2402,0.430288783428768,0.375179438517848,0.485086776108553,0.807959039795697,1.3422394684236,2.04994308979378,2.83299395109867,3.69450557464961,4.55103556250239,5.34871997867063,6.11713728511216
2402.5,0.447413156141201,0.372377268437632,0.473878095787688,0.802354699635265,1.34535299073495,2.04869768086924,2.86257241305651,3.68454230325329,4.55383773258261,5.36584435138306,6.10094696909314
2403,0.443365577136444,0.376424847442388,0.480416492641526,0.799863881786183,1.34504163850382,2.04932038533151,2.85323184612245,3.68142878094194,4.55695125489396,5.35276755767539,6.12025080742351
2403.5,0.425929852192876,0.384208653220767,0.484464071646283,0.799863881786183,1.33289890148955,2.0349981826993,2.85198643719791,3.67551308855037,4.54107229110607,5.35494702329333,6.12149621634805
2404,0.425929852192876,0.359611826961091,0.490691116268986,0.797995768399372,1.34846651304631,2.04900903310038,2.85727942512721,3.67831525863058,4.55103556250239,5.33533183273182,6.1174486373433
2404.5,0.437138532513741,0.37891566529147,0.469830516782931,0.799552529555048,1.34255082065474,2.041225227322,2.84015505241478,3.67271091847015,4.55414908481374,5.35058809205744,6.09565398116384
2405,0.440252054825093,0.368329689432875,0.480105140410391,0.799241177323913,1.34690975189063,2.05461337326081,2.8501183238111,3.6758244407815,4.54511987011082,5.33813400281203,6.11589187618762
