Group,param,value
WT,8,24.18568432622428
WT,8,17.707975608586032
WT,8,12.826558899698323
WT,8,17.35786577170671
WT,8,16.300573871138248
WT,8,13.051520131866171
WT,8,14.27210577026905
WT,8,12.831118497157252
WT,8,18.456903777097974
Mgat1KO,8,14.599265705658965
Mgat1KO,8,24.003252141558843
Mgat1KO,8,25.624269030110398
Mgat1KO,8,16.335197083823758
Mgat1KO,8,18.700952066987725
Mgat1KO,8,37.19199264362323
Mgat1KO,8,98.73098295989384
Mgat1KO,8,30.92019331963612
Mgat1KO,8,23.31180559915464
Mgat1KO,8,18.231517318248702
Mgat1KO,8,21.85552128345162
Mgat1KO,8,20.648368577756038
Mgat1KO,8,21.844914691290782
Mgat1KO,8,17.46487426733212
Mgat1KO,8,17.04019761798677
Mgat1KO,8,12.920191544750441
Mgat1KO,8,13.13455155577225
Mgat1KO,8,23.660482407958824
Mgat1KO,8,20.65267536043454
Mgat1KO,8,33.22941391769916
Mgat1KO,8,21.526085346312296
Mgat1KO,8,18.803380143794822
Mgat1KO,8,15.473025017064982
Mgat1KO,8,17.524785761499366
Mgat1KO,8,48.72544421920303
Mgat1KO,8,15.56673609076004
Mgat1KO,8,18.067051347364806
Mgat1KO,8,13.648934051934072
Mgat1KO,8,38.749125311755456
Mgat1KO,8,20.83367551422174
Mgat1KO,8,29.927068034644815
Mgat1KO,8,21.692704937073252
Mgat1KO,8,55.279198051004954
WT,9,61.04925128371306
WT,9,83.19648737265918
WT,9,76.31520351044493
WT,9,63.8600189417219
WT,9,84.33128242082948
WT,9,72.97368991698458
WT,9,72.12645161123316
WT,9,66.94896666142732
WT,9,82.65018249867747
WT,9,87.61114392821126
WT,9,752.1606314422603
WT,9,87.03048993115591
WT,9,47.48496970725128
WT,9,40.512953294345024
WT,9,101.90246916913446
WT,9,70.06691135873642
WT,9,92.064010086094
WT,9,77.65169588897372
WT,9,87.60170170971506
WT,9,56.7094734797325
WT,9,81.42800930406092
WT,9,71.89511462696856
WT,9,68.9485676792283
WT,9,57.13603732611994
WT,9,82.82189508928595
WT,9,81.87461362634764
WT,9,103.75450320165285
WT,9,82.94042105490763
WT,9,80.70567388251537
WT,9,66.86930420991416
WT,9,70.18156685510125
WT,9,63.8042002689214
WT,9,83.28309087971824
WT,9,79.0949111148742
Mgat1KO,9,264.1410970092505
Mgat1KO,9,94.50158278800541
Mgat1KO,9,59.53564433803702
Mgat1KO,9,133.8661287289304
Mgat1KO,9,88.02233830402984
Mgat1KO,9,42.96690131909174
Mgat1KO,9,38.86469181834257
Mgat1KO,9,60.28158263388911
Mgat1KO,9,59.207769176160255
