Group,file,param,value
Mgat1KO,15o27028,3,0.0014101393633367133
Mgat1KO,15o27031,3,0.08086373992558375
Mgat1KO,15o28006,3,0.0009760072262111973
Mgat1KO,15o28009,3,13.96129539737901
Mgat1KO,15o28012,3,0.004230660154838635
Mgat1KO,15n03002,3,2.1083201561330247
Mgat1KO,15n03005,3,21.526506273912197
Mgat1KO,15n03014,3,0.004808082826313421
Mgat1KO,15n03017,3,0.008163235786962065
Mgat1KO,15n03028,3,0.0027206342547441806
Mgat1KO,15n04002,3,20.620683055362587
Mgat1KO,15n04009,3,0.007365385703761788
Mgat1KO,15n04014,3,13.70927724305539
Mgat1KO,15n04017,3,5.05933156785333
Mgat1KO,15n04020,3,16.22981551445631
Mgat1KO,15n04023,3,3.915556082420341
Mgat1KO,15n04029,3,3.5335858606202786
Mgat1KO,15n09002,3,0.05682962060875216
Mgat1KO,15n09005,3,0.012793813710321001
Mgat1KO,15n20005,3,7.064405024048671
Mgat1KO,15n20008,3,19.166743056551475
Mgat1KO,15n20012,3,0.0012465616766397275
Mgat1KO,15n24005,3,0.7711516985708776
Mgat1KO,15n24010,3,0.0007159215049021672
Mgat1KO,15n24013,3,2.3102562899086548e-05
WT,15o26002,4,7.077463461761726
WT,15o26005,4,8.117736289757683
WT,15o26008,4,10.372572102454289
WT,15o26014,4,8.028801199946589
WT,15o26017,4,5.91426693899509
WT,15o26020,4,12.37431719546063
WT,15o26023,4,8.403479587521929
WT,15o26031,4,8.010166733701984
WT,15o29002,4,10.489949973531303
WT,15o29009,4,6.0698827943436875
WT,15o29012,4,7.509875861279925
WT,15o29015,4,13.99994876907291
WT,15o29021,4,7.863543059287223
WT,15o29024,4,10.867188898078055
WT,15o29027,4,10.78193088184306
WT,15o20002,4,5.508619535971799
WT,15o20005,4,13.99998980398913
WT,15o20010,4,5.974930803545093
WT,15o20015,4,13.999974423735605
WT,15o21003,4,3.3395882569156297
WT,15o21008,4,7.941924814616834
WT,15o22002,4,13.999997874796705
WT,15o22008,4,13.999995646923242
WT,15n10002,4,6.857303052964114
WT,15n10009,4,9.630533109820696
WT,15n10012,4,13.999878213107905
WT,15n23002,4,4.091129732317256
WT,15n23005,4,13.834957615423477
WT,15n23008,4,13.999993527262266
WT,15n23019,4,13.999996535231645
WT,15n23022,4,5.859943618332764
Mgat1KO,15o27002,4,10.733671510937587
Mgat1KO,15o27005,4,12.626107985900948
Mgat1KO,15o27010,4,13.997379009578479
Mgat1KO,15o27018,4,13.999993172928615
Mgat1KO,15o27025,4,13.99999399685396
Mgat1KO,15o27028,4,13.99996904419573
Mgat1KO,15o27031,4,13.999538660667673
Mgat1KO,15o28006,4,9.826272594608858
Mgat1KO,15o28009,4,9.435751269406856
Mgat1KO,15o28012,4,9.933616815839482
Mgat1KO,15n03002,4,9.767027570565874
Mgat1KO,15n03005,4,9.272567250191413
Mgat1KO,15n03014,4,13.999617420483276
Mgat1KO,15n03017,4,13.999464952950184
Mgat1KO,15n03028,4,13.999859498891931
Mgat1KO,15n04002,4,10.893316528854626
Mgat1KO,15n04009,4,13.999832088922565
Mgat1KO,15n04014,4,13.422568234254914
Mgat1KO,15n04017,4,11.053652488195503
Mgat1KO,15n04020,4,9.15865189141672
Mgat1KO,15n04023,4,11.856124019156704
Mgat1KO,15n04029,4,11.07986920442942
Mgat1KO,15n09002,4,13.999873179968176
Mgat1KO,15n09005,4,10.18595761804983
Mgat1KO,15n20005,4,8.642239351809401
Mgat1KO,15n20008,4,13.922323363529346
Mgat1KO,15n20012,4,11.256949804578937
Mgat1KO,15n24005,4,1.2039724639996023
Mgat1KO,15n24010,4,10.715556383965883
Mgat1KO,15n24013,4,13.999998011051229
WT,15o26002,5,0.023868168528927217
WT,15o26005,5,0.024729257263304043
WT,15o26008,5,0.01883193258038557
WT,15o26014,5,0.014684914320783934
WT,15o26017,5,0.017687235247184623
WT,15o26020,5,0.01921732300318303
WT,15o26023,5,0.018987843946752854
WT,15o26031,5,0.019544939878971733
WT,15o29002,5,0.005365538791283706
WT,15o29009,5,0.013755934016059011
WT,15o29012,5,0.01591792799499446
WT,15o29015,5,0.0053655204978165765
WT,15o29021,5,0.016638931638786502
WT,15o29024,5,0.017942350469786886
WT,15o29027,5,0.01951699043594123
WT,15o20002,5,0.018800509649186614
WT,15o20005,5,0.005365524352563798
WT,15o20010,5,0.00536550675899997
WT,15o20015,5,0.01612239002508315
WT,15o21003,5,0.01560545005552001
WT,15o21008,5,0.009788678650045509
WT,15o22002,5,0.011697000970600708
WT,15o22008,5,0.016079001342987596
WT,15n10002,5,0.013440308906605898
WT,15n10009,5,0.012655453194423235
WT,15n10012,5,0.008656360853536042
WT,15n23002,5,0.016669322564435315
WT,15n23005,5,0.012553716007822471
WT,15n23008,5,0.011957149733446037
WT,15n23019,5,0.01446022230951946
WT,15n23022,5,0.013861371506464533
Mgat1KO,15o27002,5,0.02038448869814084
Mgat1KO,15o27005,5,0.012818427409876883
Mgat1KO,15o27010,5,0.01640087836814063
Mgat1KO,15o27018,5,0.01807627792505223
Mgat1KO,15o27025,5,0.01701473459004088
Mgat1KO,15o27028,5,0.014683398834905582
Mgat1KO,15o27031,5,0.019411381679581622
Mgat1KO,15o28006,5,0.017669546292880717
Mgat1KO,15o28009,5,0.01632154131822164
Mgat1KO,15o28012,5,0.015115368711517573
Mgat1KO,15n03002,5,0.015813402394476605
Mgat1KO,15n03005,5,0.015106068558687182
Mgat1KO,15n03014,5,0.010762962668286054
Mgat1KO,15n03017,5,0.009183461403714831
Mgat1KO,15n03028,5,0.012355891006732022
Mgat1KO,15n04002,5,0.01586660413831973
Mgat1KO,15n04009,5,0.01523450380132065
Mgat1KO,15n04014,5,0.016934302700745075
Mgat1KO,15n04017,5,0.014794007373927016
Mgat1KO,15n04020,5,0.014957524900021816
Mgat1KO,15n04023,5,0.015225672448746777
Mgat1KO,15n04029,5,0.014231389156123255
Mgat1KO,15n09002,5,0.018411575436154428
Mgat1KO,15n09005,5,0.01721298469605967
Mgat1KO,15n20005,5,0.015201215166665
Mgat1KO,15n20008,5,0.012409412101620967
Mgat1KO,15n20012,5,0.014056783343710308
Mgat1KO,15n24005,5,0.01464659837804595
Mgat1KO,15n24010,5,0.014705465375986713
Mgat1KO,15n24013,5,0.013575121691314116
WT,15o26002,7,0.021477178240481315
WT,15o26005,7,0.018066279001130753
